NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,19,23,3,25,0.1049228,1
0,1,2,2,0,0.8075545,0.3085001,0.3085001,15,3,27,27,3,27,1,2,19,23,3,25,0.2002783,1
0,1,2,2,0,1.307554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,19,23,3,25,0.3030121,1
0,1,2,2,0,1.807554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,19,23,3,25,0.4046269,1
0,1,2,2,0,2.307553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,19,23,3,25,0.5011967,1
0,1,2,2,0,2.807553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,19,23,3,25,0.6018548,1
0,1,2,2,0,3.307552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,19,23,3,25,0.7052631,1
0,1,2,2,0,3.807552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,19,23,3,25,0.8048896,1
0,1,2,2,0,4.307551,8.3085,0.3085001,15,3,27,27,3,27,1,2,19,23,3,25,0.9050451,1
1,1,2,1,19.80756,4.807551,0.3085001,0.3075551,15,3,27,27,3,27,1,2,19,23,3,25,1.00593,1
1,1,2,1,19.30756,5.30755,0.3085001,0.3075551,15,3,27,27,3,27,1,2,19,23,3,25,1.102092,1
1,1,2,1,18.80756,5.807552,0.3085001,0.3075551,15,3,27,27,3,27,1,2,19,23,3,25,1.203917,1
1,1,2,1,18.30756,6.307554,0.3085001,0.3075551,15,3,27,27,3,27,1,2,19,23,3,25,1.304354,1
1,1,2,1,17.80755,6.807556,0.3085001,0.3075551,15,3,27,27,3,27,1,2,19,23,3,25,1.404545,1
1,1,2,1,17.30755,7.307558,0.3085001,0.3075551,15,3,27,27,3,27,1,2,19,23,3,25,1.504814,1
1,1,2,1,16.80755,7.80756,0.3085001,0.3075551,15,3,27,27,3,27,1,2,19,23,3,25,1.602381,1
1,1,2,2,16.30755,8.307562,0.3085001,0.3085001,15,3,27,27,3,27,1,2,19,23,3,25,1.703086,1
1,1,2,2,15.80755,8.807564,0.3085001,0.3085001,15,3,27,27,3,27,1,2,19,23,3,25,1.800532,1
1,1,2,2,15.30754,9.307566,0.3085001,0.3085001,15,3,27,27,3,27,1,2,19,23,3,25,1.902583,1
1,1,2,2,14.80754,9.807568,0.3085001,0.3085001,15,3,27,27,3,27,1,2,19,23,3,25,2.000964,1
1,1,2,1,14.30754,10.30757,0.3085001,8.307554,15,3,26.5,27,3,27,1,2,19,23,3,25,2.100585,1
1,1,2,2,13.80754,10.80757,0.3085001,0.3085001,15,3,26,27,3,27,1,2,19,23,3,25,2.202266,1
1,1,2,2,13.30754,11.30757,0.3085001,0.3085001,15,3,25.49999,27,3,27,1,2,19,23,3,25,2.302422,1
1,1,2,2,12.80754,11.80758,0.3085001,0.3085001,15,3,24.99999,27,3,27,1,2,19,23,3,25,2.40284,1
1,1,2,2,12.30753,12.30758,0.3085001,0.3085001,15,3,24.49999,27,3,27,1,2,19,23,3,25,2.501702,1
1,1,2,2,11.80753,12.80758,0.3085001,0.3085001,15,3,23.99999,27,3,27,1,2,19,23,3,25,2.602971,1
1,1,2,2,11.30753,13.30758,0.3085001,0.3085001,15,3,23.49999,27,3,27,1,2,19,23,3,25,2.705029,1
1,1,2,2,10.80753,13.80758,0.3085001,0.3085001,15,3,22.99998,27,3,27,1,2,19,23,3,25,2.801893,1
1,1,1,1,10.40753,14.20758,2.307555,8.307554,15,3,22.49998,27,3,27,1,2,19,23,3,25,2.901808,4
1,1,1,1,10.40753,14.20758,2.607556,8.007554,15,3,21.99998,27,3,27,1,2,19,23,3,25,3.001408,4
2,2,1,1,0.4084719,0.2085283,3.107558,7.507552,15,3,21.49998,27,3,27,1,2,19,23,3,25,3.10367,4
