NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,17,3,21,0.1102708,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,17,3,21,0.2036807,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,17,3,21,0.3002586,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,17,3,21,0.4022431,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,17,3,21,0.5001039,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,17,3,21,0.6042958,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,17,3,21,0.7073934,0
0,1,2,1,0,0.407555,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,17,3,21,0.8016734,1
0,1,2,2,0,0.9075544,0.3085001,0.3085001,15,3,27,27,3,27,1,2,7,17,3,21,0.9038259,1
0,1,2,2,0,1.407554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,7,17,3,21,1.005836,1
0,1,2,2,0,1.807554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,7,17,3,21,1.100458,1
0,1,2,2,0,2.307553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,7,17,3,21,1.200681,1
0,1,2,2,0,2.807553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,7,17,3,21,1.301385,1
0,1,2,2,0,3.407552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,7,17,3,21,1.403519,1
0,1,2,2,0,3.907552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,7,17,3,21,1.505798,1
0,1,2,2,0,4.407551,8.3085,0.3085001,15,3,27,27,3,27,1,2,7,17,3,21,1.604982,1
1,1,2,1,19.70756,4.90755,0.3085001,0.3075551,15,3,27,27,3,27,1,2,7,17,3,21,1.705955,1
1,1,2,1,19.20756,5.40755,0.3085001,0.3075551,15,3,27,27,3,27,1,2,7,17,3,21,1.804569,1
1,1,2,1,18.70756,5.907552,0.3085,0.3075551,15,3,27,27,3,27,1,2,7,17,3,21,1.903601,1
1,1,2,1,18.20756,6.407555,0.3085001,0.3075551,15,3,27,27,3,27,1,2,7,17,3,21,2.002171,1
1,1,2,1,17.70755,6.907556,0.3085001,0.3075551,15,3,26.5,27,3,27,1,2,7,17,3,21,2.10232,1
1,1,2,1,17.20755,7.407558,0.3085001,0.3075551,15,3,26,27,3,27,1,2,7,17,3,21,2.203336,1
1,1,2,1,16.70755,7.907561,0.3085001,0.3075551,15,3,25.49999,27,3,27,1,2,7,17,3,21,2.304327,1
1,1,2,2,16.20755,8.407562,0.3085001,0.3085001,15,3,24.99999,27,3,27,1,2,7,17,3,21,2.402394,1
1,1,2,2,15.70755,8.907564,0.3085001,0.3085001,15,3,24.49999,27,3,27,1,2,7,17,3,21,2.506142,1
