NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,27,19,3,25,0.1142136,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,27,19,3,25,0.2026599,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,27,19,3,25,0.3038631,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,27,19,3,25,0.4012978,1
0,1,2,2,0,0.8075545,0.3085001,0.3085001,15,3,27,27,3,27,1,2,27,19,3,25,0.5030385,1
0,1,2,2,0,1.307554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,27,19,3,25,0.6034079,1
0,1,2,2,0,1.807554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,27,19,3,25,0.7005662,1
0,1,2,2,0,2.307553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,27,19,3,25,0.8031634,1
0,1,2,2,0,2.807553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,27,19,3,25,0.9034238,1
0,1,2,2,0,3.307552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,27,19,3,25,1.002875,1
0,1,2,2,0,3.807552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,27,19,3,25,1.102231,1
0,1,2,2,0,4.307551,8.3085,0.3085001,15,3,27,27,3,27,1,2,27,19,3,25,1.202058,1
1,1,2,1,19.90756,4.707551,0.2084997,0.4075555,15,3,27,27,3,27,1,2,27,19,3,25,1.30018,3
1,1,2,1,19.90756,4.707551,0.008498904,0.6075562,15,3,27,27,3,27,1,2,27,19,3,25,1.401675,3
1,1,2,1,19.90756,4.707551,0.008498904,0.6075562,15,3,27,27,3,27,1,2,27,19,3,25,1.503653,3
0,1,2,2,0,4.507551,8.008499,0.6085013,15,3,27,27,3,27,1,2,27,19,3,25,1.604026,2
0,1,2,2,0,4.007551,8.008499,0.6085013,15,3,27,27,3,27,1,2,27,19,3,25,1.702533,3
2,2,2,2,0.6085036,0.00849652,7.708498,0.9085024,15,3,27,27,3,27,1,2,27,19,3,25,1.80139,3
2,2,2,2,0.6085036,0.00849652,7.208496,1.408504,15,3,27,27,3,27,1,2,27,19,3,25,1.901163,3
2,2,2,2,0.6085036,0.00849652,6.708494,1.908506,15,3,27,27,3,27,1,2,27,19,3,25,2.004065,3
2,2,2,2,0.6085036,0.00849652,6.208492,2.408508,15,3,26.5,27,3,27.3,1,2,27,19,3,25,2.102445,3
2,2,2,2,0.6085036,0.00849652,5.70849,2.90851,15,3,26,27,3,27.3,1,2,27,19,3,25,2.203684,3
2,2,2,2,0.6085036,0.00849652,5.208488,3.408512,15,3,25.49999,27,3,27.3,1,2,27,19,3,25,2.300499,3
2,2,2,2,0.6085036,0.00849652,4.708486,3.908514,15,3,24.99999,27,3,27.3,1,2,27,19,3,25,2.401068,3
2,2,2,2,4.608503,0.00849652,4.208484,4.408515,15,3,24.49999,27,3,27.3,1,2,27,19,3,25,2.504628,3
2,2,2,2,0.6085036,0.00849652,3.708483,4.908517,15,3,23.99999,27,3,27.3,1,2,27,19,3,25,2.603953,3
2,2,2,2,0.6085036,0.00849652,3.20848,5.408519,15,3,23.49999,27,3,27.3,1,2,27,19,3,25,2.704109,3
2,2,2,2,0.6085036,0.00849652,2.708478,5.908521,15,3,22.99998,27,3,27.3,1,2,27,19,3,25,2.804363,3
2,2,2,2,0.6085036,0.00849652,2.208477,6.408523,15,3,22.49998,27,3,27.3,1,2,27,19,3,25,2.903065,3
2,2,2,2,0.6085036,0.00849652,1.708475,6.908525,15,3,21.99998,27,3,27.3,1,2,27,19,3,25,3.001468,3
2,2,2,2,0.6085036,0.00849652,1.208473,7.408527,15,3,21.49998,27,3,27.3,1,2,27,19,3,25,3.102788,3
2,2,2,2,0.6085036,0.00849652,0.7084711,7.908529,15,3,20.99998,27,3,27.3,1,2,27,19,3,25,3.203917,3
0,1,2,2,0,4.407551,0.6084707,8.00853,15,3,20.49998,27,3,27.3,1,2,27,19,3,25,3.30184,1
6,1,1,2,18.05775,4.90755,0.6075257,0.008529422,15,3,19.99997,27,3,27.3,1,2,27,19,3,25,3.404006,1
6,1,1,2,17.55775,5.40755,0.6075257,0.008529422,15,3,19.49997,27,3,27.3,1,2,27,19,3,25,3.500538,1
6,1,1,2,17.05775,5.907552,0.6075257,0.008529422,15,3,18.99997,27,3,27.3,1,2,27,19,3,25,3.600839,1
6,1,1,2,16.55775,6.407555,0.6075257,0.008529422,15,3,18.49997,27,3,27.3,1,2,27,19,3,25,3.701491,1
6,1,1,2,16.05775,6.907556,0.6075256,0.008529422,15,3,17.99997,27,3,27.3,1,2,27,19,3,25,3.802862,1
6,1,1,2,15.55775,7.407558,0.6075256,0.008529422,15,3,17.49996,27,3,27.3,1,2,27,19,3,25,3.901802,1
0,1,1,2,0,7.907561,0.6075257,0.008529422,15,3,16.99996,27,3,27.3,0,2,27,19,3,25,4.002449,1
0,1,2,2,0,8.407562,0.6084707,0.008529422,15,3,16.99996,27,3.5,27.3,0,2,27,19,3,25,4.103918,1
0,1,2,2,0,8.907564,0.6084707,0.008529422,15,3,16.99996,27,3.999999,27.3,0,2,27,19,3,25,4.201144,1
0,1,2,2,0,9.407566,0.6084707,0.008529422,15,3,16.99996,27,4.499999,27.3,0,2,27,19,3,25,4.300254,1
0,1,2,2,0,9.907568,0.6084707,0.008529422,15,3,16.99996,27,4.999998,27.3,0,2,27,19,3,25,4.400461,1
0,1,1,2,0,10.40757,8.607526,0.008529422,15,3,16.99996,27,5.499998,27.3,0,2,27,19,3,25,4.503987,1
0,1,2,2,0,10.90757,0.6084707,0.008529422,15,3,16.99996,27,5.999997,27.3,0,2,27,19,3,25,4.603139,1
0,1,2,2,0,11.40757,0.6084707,0.008529422,15,3,16.99996,27,6.499997,27.3,0,2,27,19,3,25,4.702728,1
